,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z76,,,,,,,,,,,,,,,,,,,,,
site_name,Zavkhan mafic unit,,,,,,,,,,,,,,,,,,,,,
site_lat,46.71786,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.06247,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2500,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,597.6,282,68.0,129.8,38.2,yes,21.0,8.0,2014.0,6.0,5.0,8.0,19.0,,nan,299.3,[0.3980374009565899; 67.364339263092972; 58580.639465421336],0.398037400957,17.3,299.3,130.2
.2a,sun compass orientation,597.8,280,78.0,129.8,38.2,yes,19.0,8.0,2014.0,6.0,5.0,8.0,22.0,,nan,296.8,[0.39803723733613339; 67.364339635772211; 58580.639627111043],0.398037237336,16.8,296.8,130.2
.3a,sun compass orientation,598.6,291,71.0,129.8,38.2,yes,29.0,8.0,2014.0,6.0,5.0,8.0,26.0,,nan,306.1,[0.39803701917551587; 67.364340132677896; 58580.639842697288],0.398037019176,15.1,306.1,130.2
.4a,sun compass orientation,598.6,301,68.0,129.8,38.2,yes,48.0,8.0,2014.0,6.0,5.0,8.0,29.0,,nan,324.6,[0.3980368555550492; 67.364340505357148; 58580.640004386958],0.398036855555,23.6,324.6,130.2
.5a,sun compass orientation,598.6,301,64.0,129.8,38.2,yes,48.0,8.0,2014.0,6.0,5.0,8.0,31.0,,nan,324.3,[0.39803674647473669; 67.364340753809969; 58580.640112180081],0.398036746475,23.3,324.3,130.2
.6a,sun compass orientation,598.6,298,66.0,129.8,38.2,yes,34.0,8.0,2014.0,6.0,5.0,8.0,33.0,,nan,309.9,[0.39803663739442574; 67.364341002262762; 58580.640219973218],0.398036637394,11.9,309.9,130.2
.7a,mag compass orientation (IGRF corrected),599.6,189,78.0,129.8,38.2,yes,nan,8.0,2014.0,6.0,5.0,1.0,1.0,,nan,nan,[0.39806128949816455; 67.364284851899015; 58580.615858756508],0.398061289498,insufficient data,189.4,130.2
.8a,sun compass orientation,599.3,270,63.0,129.8,38.2,yes,7.0,8.0,2014.0,6.0,5.0,8.0,36.0,,nan,282.4,[0.39803647377394485; 67.364341374942057; 58580.640381662888],0.398036473774,12.4,282.4,130.2
