er_site_name	sample_bed_dip	sample_bed_dip_direction
Z59	42.7	194.2
Z64	36.2	201.2
Z65	36.2	201.2
Z66	35	207.7
Z70	38.3	210.4
Z71	38.3	210.4
Z72	38.2	220.2
Z73	38.2	220.2
Z74	38.2	220.2
Z76	38.2	220.2
Z77	38.2	220.2
Z78	38.2	220.2
Z79	38.2	220.2
Z80	38.2	220.2
Z81	38.2	220.2
Z82	38.2	220.2
Z83	40.3	198.9
Z84	40.3	199.4
Z85	40.3	198.9
Z87	38	227.4
Z88	38	227.4
Z89	38	227.4
Z90	38	227.4
Z91	38	227.4
Z92	38	227.4
Z93	38	227.4
Z94	38	227.4
Z95	38	227.4
