,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z85,,,,,,,,,,,,,,,,,,,,,
site_name,Zavkhan tuff,,,,,,,,,,,,,,,,,,,,,
site_lat,46.71863,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.08112,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2500,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,241.5,245,45.0,108.5,40.3,yes,141,8,2014,6,5,19,27,,nan,216.3,[0.39028363292924573; 67.365133864741068; 58581.847103697895],0.390283632929,-28.7,216.3,108.9
.2a,sun compass orientation,241.5,248,60.0,108.5,40.3,yes,143,8,2014,6,5,19,30,,nan,217.8,[0.39028346898844052; 67.365134237399388; 58581.847265260323],0.390283468988,-30.2,217.8,108.9
.3a,sun compass orientation,241.5,279,32.0,108.5,40.3,yes,174,8,2014,6,5,19,32,,nan,248.4,[0.39028335969456612; 67.365134485838254; 58581.847372968638],0.390283359695,-30.6,248.4,108.9
.4a,sun compass orientation,241.5,234,13.0,108.5,40.3,yes,129,8,2014,6,5,19,35,,nan,234.8,[0.39028319575375209; 67.36513485849656; 58581.847534531073],0.390283195754,0.8,234.8,108.9
.5a,sun compass orientation,241.5,278,39.0,108.5,40.3,yes,169,8,2014,6,5,19,39,,nan,274.1,[0.39028297716599286; 67.365135355374349; 58581.847749947694],0.390282977166,-3.9,274.1,108.9
.6a,sun compass orientation,241.5,272,28.0,108.5,40.3,yes,165,8,2014,6,5,19,41,,nan,269.8,[0.39028286787210797; 67.365135603813229; 58581.847857656016],0.390282867872,-2.2,269.8,108.9
.7a,sun compass orientation,241.5,264,28.0,108.5,40.3,yes,156,8,2014,6,5,19,43,,nan,260.5,[0.39028275857822375; 67.365135852252081; 58581.847965364308],0.390282758578,-3.5,260.5,108.9
.8a,sun compass orientation,241.5,325,29.0,108.5,40.3,yes,212,8,2014,6,5,19,45,,nan,316.1,[0.39028264928434309; 67.365136100690961; 58581.848073072608],0.390282649284,-8.9,316.1,108.9
