,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z92,,,,,,,,,,,,,,,,,,,,,
site_name,upper Zavkhan basalt flow,,,,,,,,,,,,,,,,,,,,,
site_lat,46.72912,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.03305,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2501,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,36.9,109,32.0,137,38.0,yes,41,8,2014,6,6,16,19,,nan,109.3,[0.41135978784071103; 67.375632683640077; 58583.496842509368],0.411359787841,0.3,109.3,137.4
.2a,sun compass orientation,36.7,91,30.0,137,38.0,yes,22,8,2014,6,6,16,21,,nan,90.8,[0.41135967895244807; 67.375632932014327; 58583.496950346285],0.411359678952,-0.2,90.8,137.4
.3a,sun compass orientation,37,97,27.0,137,38.0,yes,27,8,2014,6,6,16,26,,nan,97.0,[0.41135940673178134; 67.375633552950035; 58583.497219938668],0.411359406732,0.0,97.0,137.4
.4a,sun compass orientation,37,93,36.0,137,38.0,yes,23,8,2014,6,6,16,27,,nan,93.3,[0.41135935228764953; 67.375633677137174; 58583.497273857145],0.411359352288,0.3,93.3,137.4
.5a,sun compass orientation,37.9,73,33.0,137,38.0,yes,2,8,2014,6,6,16,30,,nan,73.0,[0.41135918895524726; 67.375634049698604; 58583.497435612568],0.411359188955,0.0,73.0,137.4
.6a,sun compass orientation,38,82,28.0,137,38.0,yes,11,8,2014,6,6,16,32,,nan,82.5,[0.41135908006697092; 67.375634298072811; 58583.497543449499],0.411359080067,0.5,82.5,137.4
.7a,sun compass orientation,38.1,76,30.0,137,38.0,yes,4,8,2014,6,6,16,33,,nan,75.7,[0.41135902562283372; 67.375634422259949; 58583.497597367954],0.411359025623,-0.3,75.7,137.4
.8a,sun compass orientation,37.9,89,35.0,137,38.0,yes,17,8,2014,6,6,16,35,,nan,89.2,[0.41135891673455793; 67.375634670634241; 58583.497705204914],0.411358916735,0.2,89.2,137.4
