,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z94,,,,,,,,,,,,,,,,,,,,,
site_name,upper Zavkhan basalt flow,,,,,,,,,,,,,,,,,,,,,
site_lat,46.72911,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.03266,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2501,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,45.1,114,46.0,137,38.0,yes,37,8,2014,6,6,16,56,,nan,114.0,[0.4115194719968453; 67.375628586654614; 58583.476283914555],0.411519471997,0.0,114.0,137.4
.2a,sun compass orientation,45.1,107,37.0,137,38.0,yes,30,8,2014,6,6,16,59,,nan,107.6,[0.41151930867100883; 67.375628959216357; 58583.476445672575],0.411519308671,0.6,107.6,137.4
.3a,sun compass orientation,45.1,130,25.0,137,38.0,yes,52,8,2014,6,6,17,1,,nan,130.1,[0.41151919978711515; 67.375629207590848; 58583.476553511304],0.411519199787,0.1,130.1,137.4
.4a,sun compass orientation,45.1,98,23.0,137,38.0,yes,21,8,2014,6,6,17,3,,nan,99.5,[0.41151909090321942; 67.375629455965324; 58583.476661349967],0.411519090903,1.5,99.5,137.4
.5a,sun compass orientation,45.1,104,36.0,137,38.0,yes,26,8,2014,6,6,17,6,,nan,105.1,[0.41151892757737524; 67.375629828527082; 58583.476823108009],0.411518927577,1.1,105.1,137.4
.6a,sun compass orientation,45.3,82,49.0,137,38.0,yes,3,8,2014,6,6,17,11,,nan,83.2,[0.41151865536762056; 67.375630449463273; 58583.477092704772],0.411518655368,1.2,83.2,137.4
.7a,sun compass orientation,46,86,57.0,137,38.0,yes,5,8,2014,6,6,17,14,,nan,85.8,[0.41151849204176577; 67.375630822025016; 58583.477254462843],0.411518492042,-0.2,85.8,137.4
.8a,sun compass orientation,46.3,68,54.0,137,38.0,yes,347,8,2014,6,6,17,17,,nan,68.4,[0.41151832871590643; 67.375631194586717; 58583.477416220885],0.411518328716,0.4,68.4,137.4
