,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z71,,,,,,,,,,,,,,,,,,,,,
site_name,Zavkhan mafic unit,,,,,,,,,,,,,,,,,,,,,
site_lat,46.71976,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.06349,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2500,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,466.9,149,28.0,120,38.3,yes,66,8,2014,6,4,17,27,,nan,149.3,[0.39785066898379362; 67.366082189885532; 58581.346877676253],0.397850668984,0.3,149.3,120.4
.2a,sun compass orientation,467.1,290,40.0,120,38.3,yes,207,8,2014,6,4,17,30,,nan,290.9,[0.39785050531534788; 67.366082562542204; 58581.347039337692],0.397850505315,0.9,290.9,120.4
.3a,sun compass orientation,467.3,179,42.0,120,38.3,yes,95,8,2014,6,4,17,33,,nan,179.5,[0.39785034164689376; 67.366082935198847; 58581.347200999124],0.397850341647,0.5,179.5,120.4
.4a,sun compass orientation,467.9,292,40.0,120,38.3,yes,207,8,2014,6,4,17,37,,nan,292.3,[0.39785012342228349; 67.366083432074404; 58581.34741654776],0.397850123422,0.3,292.3,120.4
.5a,sun compass orientation,467,232,51.0,120,38.3,yes,141,8,2014,6,4,17,39,,nan,226.7,[0.39785001430997563; 67.366083680512176; 58581.347524322053],0.39785001431,-5.3,226.7,120.4
.6a,sun compass orientation,468.3,215,23.0,120,38.3,yes,130,8,2014,6,4,17,41,,nan,216.0,[0.39784990519766489; 67.366083928949962; 58581.34763209636],0.397849905198,1.0,216.0,120.4
.7a,sun compass orientation,468.1,234,51.0,120,38.3,yes,152,8,2014,6,4,17,46,,nan,239.0,[0.39784963241688193; 67.366084550044363; 58581.347901532121],0.397849632417,5.0,239.0,120.4
.8a,sun compass orientation,467.5,174,55.0,120,38.3,yes,93,8,2014,6,4,17,47,,nan,180.2,[0.39784957786072533; 67.366084674263277; 58581.347955419253],0.397849577861,6.2,180.2,120.4
