tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_direction_type	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	13.7	MAG	74.4	Site direction included in results table		-51.5	9.9827e+02	9.9827e+02	Years Cal BP	17	8	8	0		7.5935	100
	This study	unknown	Z65	Z65.1a:Z65.2a:Z65.3a:Z65.4a:Z65.5a:Z65.6a:Z65.7a:Z65.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	3.4	HEM	76.8	Site direction included in results table		-57.5	9.9827e+02	9.9827e+02	Years Cal BP	266	8	8	0		7.9737	100
	This study	unknown	Z66	Z66.1a:Z66.2a:Z66.3a:Z66.4a:Z66.5a:Z66.6a:Z66.7a:Z66.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	3.6	HEM	137.3	Site direction included in results table		-49.7	9.9827e+02	9.9827e+02	Years Cal BP	233	8	8	0		7.9700	0
	This study	unknown	Z66	Z66.1a:Z66.2a:Z66.3a:Z66.4a:Z66.5a:Z66.6a:Z66.7a:Z66.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	3.6	HEM	94.6	Site direction included in results table		-48.5	9.9827e+02	9.9827e+02	Years Cal BP	234	8	8	0		7.9700	100
	This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.1	LOW	353.0	Site direction included in results table		64.1	9.9827e+02	9.9827e+02	Years Cal BP	85	8	8	0		7.9173	0
	This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	10.6	MAG	247.5	Site direction included in results table		-84.3	9.9827e+02	9.9827e+02	Years Cal BP	41	6	6	0		5.8779	0
	This study	unknown	Z70	Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT	6.3	MID	185.5	Site direction included in results table		-72.0	9.9827e+02	9.9827e+02	Years Cal BP	1573	2	2	0		1.9994	0
	This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.4	HEM	189.7	Site direction included in results table		-70.5	9.9827e+02	9.9827e+02	Years Cal BP	76	8	8	0		7.9083	0
	This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.1	LOW	253.2	Site direction included in results table		67.1	9.9827e+02	9.9827e+02	Years Cal BP	84	8	8	0		7.9169	100
	This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	10.6	MAG	24.3	Site direction included in results table		-56.1	9.9827e+02	9.9827e+02	Years Cal BP	41	6	6	0		5.8773	100
	This study	unknown	Z70	Z70.7a:Z70.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.3	MID	49.7	Site direction included in results table		-66.9	9.9827e+02	9.9827e+02	Years Cal BP	1595	2	2	0		1.9994	100
	This study	unknown	Z70	Z70.1a:Z70.2a:Z70.3a:Z70.4a:Z70.5a:Z70.6a:Z70.7a:Z70.8a	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.4	HEM	49.6	Site direction included in results table		-69.0	9.9827e+02	9.9827e+02	Years Cal BP	76	8	8	0		7.9082	100
	This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	5.3	LOW	2.5	Site direction included in results table		63.0	9.9827e+02	9.9827e+02	Years Cal BP	110	8	8	0		7.9363	0
	This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	7.6	MAG	70.7	Site direction included in results table		-75.4	9.9827e+02	9.9827e+02	Years Cal BP	53	8	8	0		7.8689	0
	This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:DE-BFL-O:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.2	HEM	205.7	Site direction included in results table		-88.6	9.9827e+02	9.9827e+02	Years Cal BP	82	8	8	0		7.9141	0
	This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	5.3	LOW	252.2	Site direction included in results table		71.4	9.9827e+02	9.9827e+02	Years Cal BP	110	8	8	0		7.9362	100
	This study	unknown	Z71	Z71.1a:Z71.2a:Z71.3a:Z71.4a:Z71.5a:Z71.6a:Z71.7a:Z71.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	7.7	MAG	42.7	Site direction included in results table		-39.8	9.9827e+02	9.9827e+02	Years Cal BP	53	8	8	0		7.8687	100
