,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,Z84,,,,,,,,,,,,,,,,,,,,,
site_name,Zavkhan rhyolite,,,,,,,,,,,,,,,,,,,,,
site_lat,46.71882,(_N),,,,,,,,,,,,,,,,,,,,
site_long,96.08039,(_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,2500,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,219.4,254,42,109,40.3,yes,160,8,2014,6,5,18,30,,nan,245,[0.3906107174198819; 67.365312842048908; 58581.879734019021],0.390610717,-9,245,109.4
.2a,sun compass orientation,219.4,318,49,109,40.3,yes,222,8,2014,6,5,18,32,,nan,306.6,[0.3906106081319024; 67.365313090486609; 58581.879841728973],0.390610608,-11.4,306.6,109.4
.3a,sun compass orientation,219.4,308,49,109,40.3,yes,212,8,2014,6,5,18,34,,nan,296.3,[0.39061049884392163; 67.365313338924324; 58581.879949439004],0.390610499,-11.7,296.3,109.4
.4a,sun compass orientation,219.4,312,52,109,40.3,yes,216,8,2014,6,5,18,35,,nan,300.1,[0.39061044419993202; 67.365313463143181; 58581.880003293976],0.390610444,-11.9,300.1,109.4
.5a,sun compass orientation,219.4,267,28,109,40.3,yes,170,8,2014,6,5,18,44,,nan,252.6,[0.39060995240399421; 67.365314581112841; 58581.880487988907],0.390609952,-14.4,252.6,109.4
.6a,sun compass orientation,219.4,268,26,109,40.3,yes,170,8,2014,6,5,18,48,,nan,251.9,[0.39060973382800335; 67.365315077988257; 58581.880703408882],0.390609734,-16.1,251.9,109.4
.7a,sun compass orientation,219.4,273,26,109,40.3,yes,174,8,2014,6,5,18,54,,nan,254.9,[0.39060940596401494; 67.365315823301373; 58581.881026538846],0.390609406,-18.1,254.9,109.4
.8a,sun compass orientation,219.4,266,24,109,40.3,yes,167,8,2014,6,5,18,58,,nan,247.2,[0.39060918738800815; 67.365316320176746; 58581.881241958828],0.390609187,-18.8,247.2,109.4
